id,hash,title,company,city,experience,skills_raw,description,url,date_posted,source,scraped_at
1,516cf196e6db637a,Développeur Full Stack React/Node.js,Orange Cameroun,Douala,2–5 ans,React - Node.js - MongoDB - Docker - Git,"Nous recherchons un développeur full stack maîtrisant React, Node.js, MongoDB. Expérience avec Docker et Git requise.",https://demo.example.com/516cf196e6db637a,2026-04-01,emploi_cm,2026-05-14T09:00:59.429253
2,ff86d11d1360a40c,Ingénieur DevOps,Afriland First Bank,Yaoundé,Expérience entre 2 ans et 5 ans,Docker - Kubernetes - AWS - CI/CD - Linux,"Poste d'ingénieur DevOps. Compétences requises: Docker, Kubernetes, AWS, pipelines CI/CD, administration Linux.",https://demo.example.com/ff86d11d1360a40c,2026-04-01,emploi_cm,2026-05-14T09:00:59.429253
3,2a78e8bc17dd0e52,Développeur Mobile Android/iOS,MTN Cameroun,Douala,Junior,Android - Flutter - Kotlin - Git - REST API,"Junior mobile developer needed. Skills: Android, Flutter, Kotlin, REST APIs, Git.",https://demo.example.com/2a78e8bc17dd0e52,2026-04-01,talent_cm,2026-05-14T09:00:59.429253
4,a6fe90563df2db77,Data Scientist,Société Générale Cameroun,Yaoundé,5 ans,Python - Machine Learning - TensorFlow - SQL - Power BI,"Data Scientist avec expérience en Machine Learning, Python, TensorFlow, analyse de données, SQL.",https://demo.example.com/a6fe90563df2db77,2026-04-01,talent_cm,2026-05-14T09:00:59.429253
5,59c5444dbb3a7f6b,Développeur Backend Python/Django,CAMTEL,Yaoundé,2 ans,Python - Django - PostgreSQL - REST API - Git,"Développeur backend Python Django, base de données PostgreSQL, API REST, versioning Git.",https://demo.example.com/59c5444dbb3a7f6b,2026-04-01,expertini_cm,2026-05-14T09:00:59.429253
6,d18834c1e1205b9b,Administrateur Système Linux,Ministère du Numérique,Yaoundé,3 ans,Linux - Bash - Networking - Apache - Nginx,"Administration système Linux, scripting Bash, réseaux TCP/IP, serveurs web Apache et Nginx.",https://demo.example.com/d18834c1e1205b9b,2026-04-01,expertini_cm,2026-05-14T09:00:59.429253
7,ddfea5df1afeb0d7,Développeur Web PHP/Laravel,StartupCM,Douala,1 an,PHP - Laravel - MySQL - JavaScript - Bootstrap,"Développeur web PHP Laravel, MySQL, JavaScript, Bootstrap pour startup camerounaise.",https://demo.example.com/ddfea5df1afeb0d7,2026-04-01,workconnect,2026-05-14T09:00:59.429253
8,bfe5bfc72e8b3525,Chef de Projet IT Agile,Ecobank Cameroun,Douala,5 ans,Agile - Scrum - Jira - SQL - Power BI,"Chef de projet IT, méthodes Agile/Scrum, Jira, maîtrise SQL et Power BI.",https://demo.example.com/bfe5bfc72e8b3525,2026-04-01,workconnect,2026-05-14T09:00:59.429253
9,ede418cb1efc662e,Développeur Frontend Vue.js,Interswitch,Douala,2 ans,Vue.js - JavaScript - HTML - CSS - REST API,"Développeur frontend Vue.js, HTML5, CSS3, intégration d'APIs REST.",https://demo.example.com/ede418cb1efc662e,2026-04-01,emploi_cm,2026-05-14T09:00:59.429253
10,c61ed60f307b15e2,Ingénieur Sécurité Informatique,Express Union,Yaoundé,5 ans,Cybersecurity - Linux - Networking - Python - Docker,"Ingénieur en sécurité informatique, audit de vulnérabilités, Linux, réseaux, Python.",https://demo.example.com/c61ed60f307b15e2,2026-04-01,emploi_cm,2026-05-14T09:00:59.429253
11,e353d716fdfac4ca,Développeur React Native,AgriTech Cameroun,Bafoussam,2 ans,React Native - JavaScript - Firebase - REST API - Git,"Mobile developer React Native, Firebase, REST API integration, Git versioning.",https://demo.example.com/e353d716fdfac4ca,2026-04-01,talent_cm,2026-05-14T09:00:59.429253
12,3435bd6ae4c810f8,Analyste de Données,BICEC,Douala,3 ans,Python - SQL - Pandas - Power BI - Excel,"Data analyst: Python, SQL, Pandas, Power BI, analyse et visualisation de données.",https://demo.example.com/3435bd6ae4c810f8,2026-04-01,talent_cm,2026-05-14T09:00:59.429253
13,4e671b74413f6cb3,Développeur Java Spring Boot,Camair-Co,Douala,3 ans,Java - Spring Boot - MySQL - Docker - Git - REST API,"Développeur Java Spring Boot, MySQL, Docker, intégration continue Git.",https://demo.example.com/4e671b74413f6cb3,2026-04-01,expertini_cm,2026-05-14T09:00:59.429253
14,658c0307b837f2c4,Développeur WordPress,Agence Web Douala,Douala,1 an,WordPress - PHP - CSS - HTML - JavaScript,"Créer et maintenir des sites WordPress, personnalisation de thèmes PHP, CSS, JavaScript.",https://demo.example.com/658c0307b837f2c4,2026-04-01,workconnect,2026-05-14T09:00:59.429253
15,a8a18f55c1fda90c,Ingénieur Machine Learning,DataCM,Yaoundé,3 ans,Python - Machine Learning - NLP - Scikit-learn - TensorFlow - SQL,"ML engineer: Python, scikit-learn, TensorFlow, NLP, SQL databases.",https://demo.example.com/a8a18f55c1fda90c,2026-04-01,emploi_cm,2026-05-14T09:00:59.429253
16,ea7c1e5e41aa89d0,Développeur Node.js/Express,Jumia Cameroun,Douala,2 ans,Node.js - Express.js - MongoDB - Docker - REST API - Git,"Backend Node.js Express developer, MongoDB, Docker, RESTful APIs.",https://demo.example.com/ea7c1e5e41aa89d0,2026-04-01,talent_cm,2026-05-14T09:00:59.429253
17,1cee3daefd513c8f,Responsable Infrastructure IT,Total Cameroun,Douala,7 ans,Linux - Networking - Kubernetes - AWS - CI/CD,"Manage IT infrastructure: Linux servers, networking, Kubernetes, cloud AWS.",https://demo.example.com/1cee3daefd513c8f,2026-04-01,expertini_cm,2026-05-14T09:00:59.429253
18,6347f720be69d5b3,Développeur Angular TypeScript,Fintech Yaoundé,Yaoundé,2 ans,Angular - TypeScript - HTML - CSS - REST API,"Frontend Angular developer with TypeScript, REST API integration.",https://demo.example.com/6347f720be69d5b3,2026-04-01,workconnect,2026-05-14T09:00:59.429253
19,dfe48e61cb451fff,Ingénieur Data / Big Data,Telco Africa,Douala,4 ans,Python - Spark - SQL - Hadoop - Machine Learning,"Big Data engineer, Apache Spark, Hadoop, SQL, Python, machine learning pipelines.",https://demo.example.com/dfe48e61cb451fff,2026-04-01,emploi_cm,2026-05-14T09:00:59.429253
